"","id","mean_price","km_dist","total_passengers","airliner"
"1",1,1166036.89649123,1527.98381456046,162.818910687786,"Elang"
"2",2,1398662.74802455,1504.59622408243,159.176094393021,"Elang"
"3",3,1080569.4191904,1407.23855879911,170.369734221521,"Jalak"
"4",4,1511967.53973515,1642.13092876123,150.733482846387,"Elang"
"5",5,1522140.92928904,1631.39124784399,154.417455674541,"Elang"
"6",6,1586748.93172902,1516.63416776453,152.829318577715,"Elang"
"7",7,1276732.82529672,1480.08073038352,165.783748132261,"Jalak"
"8",8,1471894.51831362,1670.6138192174,155.603316842002,"Elang"
"9",9,1078000.48581629,1384.09316387237,168.194964789597,"Jalak"
"10",10,1113544.71768694,1403.85635611782,167.109101740181,"Jalak"
"11",11,1451929.7156653,1565.66117668486,155.252838911272,"Elang"
"12",12,1295864.74475573,1528.80550254919,162.392371074897,"Elang"
"13",13,1639460.22920732,1661.92324275385,146.759347347842,"Elang"
"14",14,1235079.63135357,1429.85708674224,161.985160399613,"Elang"
"15",15,1367615.28387655,1603.72258303551,156.375904619173,"Jalak"
"16",16,1154771.73252183,1478.75520272581,165.959023363721,"Jalak"
"17",17,1710583.16619292,1779.43772462672,144.05623794764,"Elang"
"18",18,1289513.73029713,1492.2230216066,164.315567365041,"Jalak"
"19",19,1488931.97172728,1574.96329950122,158.177793928303,"Elang"
"20",20,1243333.57974081,1494.78482102741,164.118084737659,"Jalak"
"21",21,1655303.86636908,1541.92475377647,147.366541791489,"Elang"
"22",22,1253641.42056154,1488.42059147067,163.90166280222,"Elang"
"23",23,1118882.49115273,1414.4234163619,168.946386052008,"Jalak"
"24",24,1358365.67890965,1462.61461671883,162.574794505458,"Jalak"
"25",25,1342584.71477225,1468.57893589588,157.805885747657,"Jalak"
"26",26,1692100.53284334,1808.94636491039,146.579246030179,"Jalak"
"27",27,1501982.96853503,1631.08181739547,154.485345008279,"Elang"
"28",28,1742415.08362162,1821.96344080327,140.66101959267,"Elang"
"29",29,1238871.35967363,1450.39743393972,163.511991728344,"Elang"
"30",30,1458358.35453126,1514.65315210378,157.377736115774,"Jalak"
"31",31,1116615.67813896,1350.25179245407,163.808854306216,"Jalak"
"32",32,1263564.43383904,1565.03163565702,159.258239500976,"Jalak"
"33",33,1407026.53350604,1538.20579302424,156.506070958745,"Jalak"
"34",34,1100132.32865553,1445.11619729343,167.546759383838,"Jalak"
"35",35,1383463.75201566,1642.658550848,156.897145444621,"Jalak"
"36",36,1474437.26635094,1570.38058647462,155.285324479975,"Jalak"
"37",37,1422473.34806468,1583.96576671065,159.65986131245,"Elang"
"38",38,1421887.62155229,1578.61782385878,155.931720235735,"Elang"
"39",39,1212005.00902085,1426.8422576254,167.929766058793,"Jalak"
"40",40,1456215.52316403,1528.20994457489,160.68458495286,"Elang"
"41",41,1608559.20414656,1623.69880317131,148.063402442744,"Elang"
"42",42,1459234.90441599,1611.82643322345,157.310660617416,"Elang"
"43",43,1438719.63034188,1527.28966367239,151.808137461787,"Jalak"
"44",44,1218590.20178359,1372.80698911315,170.494663114248,"Elang"
"45",45,1192302.81071358,1414.33514993915,164.371980764031,"Elang"
"46",46,1171679.22011066,1363.31163234945,165.660229371155,"Jalak"
"47",47,1592267.38468062,1598.86024506329,150.831617909096,"Elang"
"48",48,1595015.50590249,1448.57073538498,155.055407033639,"Elang"
"49",49,1367820.15055916,1465.72775283946,162.35347875362,"Jalak"
"50",50,1350914.7725683,1376.92044061865,164.805143104268,"Jalak"
"51",51,1249414.41762637,1369.98188991231,165.92815301989,"Jalak"
"52",52,1460532.6635812,1646.22914875993,151.484736992499,"Jalak"
"53",53,1231980.97313064,1427.13691054651,164.497057977316,"Jalak"
"54",54,1151215.97698322,1352.80857813151,167.379345481785,"Elang"
"55",55,1198513.97183297,1421.87012317886,168.744174593266,"Jalak"
"56",56,1414052.04383796,1476.35098907548,157.425354588851,"Elang"
"57",57,1134184.32656085,1375.68207925862,167.877917593974,"Elang"
"58",58,1110697.90977679,1386.41005077861,167.350437078431,"Elang"
"59",59,1662445.63419434,1737.14811055651,148.14740516516,"Jalak"
"60",60,1346672.55068931,1460.54187148193,161.824748065353,"Jalak"
"61",61,1190423.41173854,1410.71623530368,164.003878870671,"Elang"
"62",62,1747647.99966202,1757.69027976698,139.488133339731,"Jalak"
"63",63,1785962.12503347,1640.14234885307,142.523661886047,"Jalak"
"64",64,1193478.57617303,1361.12164763618,166.151170535098,"Jalak"
"65",65,1194346.9948889,1508.54575455909,165.680649583472,"Elang"
"66",66,1323879.25195325,1503.24648760353,160.798382256516,"Elang"
"67",67,1474470.46113123,1508.19645536476,162.38868583346,"Elang"
"68",68,1343235.59475632,1320.11056264936,161.310240030381,"Jalak"
"69",69,1132815.44936953,1396.82550312122,169.274509533207,"Elang"
"70",70,1486089.1910597,1548.86440293044,155.123799546097,"Jalak"
"71",71,1392544.39933247,1438.78118468644,159.562231243609,"Jalak"
"72",72,1151390.53741556,1472.35480336223,164.017834126519,"Jalak"
"73",73,1127046.71760721,1297.92319193323,169.72833736241,"Elang"
"74",74,1485781.4136965,1637.13700808569,155.222155258374,"Elang"
"75",75,1427405.61597816,1473.67983000208,156.999964563217,"Jalak"
"76",76,1605329.84922661,1710.17003006337,151.040495707909,"Jalak"
"77",77,1504548.08847133,1689.37823706826,151.703913882214,"Jalak"
"78",78,1616872.30431411,1622.31909439732,153.15283929091,"Jalak"
"79",79,1362790.40241633,1505.61740564564,159.647775705443,"Elang"
"80",80,1561158.23066279,1633.15107696101,155.351472662057,"Jalak"
"81",81,1736708.4360048,1765.99703519681,144.794689293945,"Jalak"
"82",82,1180429.21965148,1239.90016420333,170.710123747793,"Jalak"
